zipcode,year,avg_price,avg_size,avg_bedrooms,avg_bathrooms,count_houses
98058,2015,352324.8,1998.28,3.4,2.07,163
98059,2014,493594.53,2423.35,3.73,2.36,316
98059,2015,493465.23,2362.7,3.68,2.3,152
98065,2014,517541.89,2572.51,3.52,2.53,199
98065,2015,546640.86,2569.19,3.53,2.57,111
98070,2014,478821.07,1856.52,2.69,1.82,90
98070,2015,515310.71,1956.61,2.96,2.14,28
98072,2014,574530.03,2401.74,3.39,2.3,176
98072,2015,561663.67,2317.11,3.57,2.13,97
98074,2014,683414.54,2674.45,3.66,2.51,319
98074,2015,691335.31,2571.15,3.53,2.46,122
98075,2014,786444.03,3020.56,3.9,2.76,242
98075,2015,799124.48,3007.7,3.76,2.69,117
98077,2014,662100.18,2826.74,3.62,2.44,141
98077,2015,733917.54,2932.02,3.6,2.53,57
98092,2014,339810.79,2257.97,3.54,2.23,226
98092,2015,326080.44,2083.01,3.44,2.26,125
98102,2014,888158.97,2122.99,3.14,2.22,78
98102,2015,939100.67,2265.93,3.44,2.39,27
98103,2014,578038.96,1671.53,3.09,1.98,432
98103,2015,602403.14,1598.24,2.98,1.83,170
98105,2014,839356.78,2135.49,3.58,2.14,157
98105,2015,913999.49,2183.47,3.58,2.21,72
98106,2014,311118.48,1492.32,3.13,1.84,212
98106,2015,334167.88,1480.24,3.06,1.75,123
98107,2014,558015.11,1551.42,2.98,2.01,176
98107,2015,620195.0,1634.56,3.03,2.11,90
98108,2014,354086.73,1726.12,3.23,1.98,139
98108,2015,360386.13,1641.06,3.13,1.79,47
98109,2014,889279.43,2065.95,3.15,2.13,79
98109,2015,854196.67,2025.37,3.3,2.24,30
98112,2014,1068574.17,2499.73,3.53,2.39,195
98112,2015,1166450.81,2496.15,3.46,2.32,74
98115,2014,613597.26,1892.0,3.23,1.91,397
98115,2015,633354.33,1714.26,3.14,1.77,186
98116,2014,606727.56,1865.47,3.08,2.01,216
98116,2015,641194.07,1830.44,3.04,1.94,114
98117,2014,572776.59,1729.67,3.05,1.84,396
98117,2015,586930.63,1597.13,2.95,1.75,157
98118,2014,410130.92,1712.72,3.08,1.77,311
98118,2015,429487.82,1645.74,3.19,1.75,197
98119,2014,850026.12,2032.25,3.26,2.27,130
98119,2015,848056.3,1941.48,3.26,2.12,54
98122,2014,632246.6,1802.45,3.16,2.08,207
98122,2015,639631.39,1741.64,3.17,2.02,83
98125,2014,466995.45,1813.99,3.29,1.91,280
98125,2015,474754.92,1598.02,3.01,1.63,130
98126,2014,413803.28,1531.63,2.79,1.66,253
98126,2015,452018.01,1573.56,2.94,1.72,101
98133,2014,369761.07,1576.85,3.09,1.71,322
98133,2015,419265.4,1684.9,3.2,1.78,172
98136,2014,550435.51,1750.09,2.93,1.9,169
98136,2015,553941.7,1685.0,2.94,1.8,94
98144,2014,613206.95,1976.49,3.2,2.07,227
98144,2015,558033.33,1786.12,3.26,2.01,116
98146,2014,360093.24,1657.53,3.14,1.69,174
98146,2015,358552.19,1566.39,3.1,1.55,114
98148,2014,285849.74,1684.87,3.23,1.88,39
98148,2015,282869.44,1449.44,2.94,1.6,18
98155,2014,416564.27,1778.39,3.28,1.78,304
98155,2015,439057.2,1804.23,3.41,1.88,142
98166,2014,453688.76,2078.43,3.4,1.93,168
98166,2015,484827.62,2047.35,3.33,1.88,86
98168,2014,233594.96,1462.13,3.01,1.41,188
98168,2015,255956.54,1483.7,2.98,1.5,81
98177,2014,660875.79,2331.33,3.36,2.08,181
98177,2015,713631.85,2303.78,3.47,2.15,74
98178,2014,306093.51,1703.78,3.31,1.72,185
98178,2015,321470.68,1790.78,3.3,1.76,77
98188,2014,279961.81,1781.65,3.48,1.85,83
98188,2015,303355.19,1835.85,3.36,1.88,53
98198,2014,310021.55,1792.69,3.19,1.82,182
98198,2015,289613.93,1657.47,3.16,1.74,98
98199,2014,790335.52,2176.36,3.23,2.18,214
98199,2015,794906.75,2131.55,3.17,2.15,103
